"date","session_time","stationID","number_of_users","average_power_usage"
4338203-08-08,"1583776800","2-39-95-27",1,6.67798408488064
4338223-04-25,"1583784000","2-39-95-27",1,6.72461071789687
4338656-12-30,"1583942400","2-39-78-366",1,1.49474626617038
4338913-04-07,"1584036000","2-39-78-366",1,1.33145680106605
4356694-04-30,"1590530400","2-39-139-28",1,0.323613242709932
4398347-10-02,"1605744000","2-39-81-4550",1,11.0360280076384
4398357-08-10,"1605747600","2-39-81-4550",1,10.8923355461678
4398387-03-06,"1605758400","2-39-81-4550",1,32.5222641509434
4398781-06-08,"1605902400","2-39-139-28",1,3.13014035595428
4401442-09-06,"1606874400","2-39-81-4550",1,17.449499482223
4402349-06-23,"1607205600","2-39-139-28",1,1.39271186440678
4402359-05-02,"1607209200","2-39-81-4550",1,12.161497596762
4402369-03-10,"1607212800","2-39-81-4550",1,13.9787976729153
4402388-11-25,"1607220000","2-39-81-4550",1,15.1984916009599
4402862-01-04,"1607392800","2-39-81-4550",1,26.5899746192893
4403798-05-17,"1607734800","2-39-81-4550",1,20.0113138686131
4404034-12-06,"1607821200","2-39-81-4550",1,12.9175269427113
4404478-06-21,"1607983200","2-39-81-4550",1,20.3750593824228
4404527-10-03,"1608001200","2-39-81-4550",1,26.7209103840683
4405227-07-25,"1608256800","2-39-81-4550",1,38.2308338332333
4405927-05-17,"1608512400","2-39-81-4550",1,42.152170212766
4406075-03-21,"1608566400","2-39-139-28",1,6.66880434782609
4406154-01-26,"1608595200","2-39-81-4550",1,37.2953733394411
4408076-01-30,"1609297200","2-39-81-4550",1,15.4171232876712
4408085-12-08,"1609300800","2-39-81-4550",1,16.6561085972851
4408450-08-17,"1609434000","2-39-81-4550",1,28.8080976863753
4408509-10-07,"1609455600","2-39-81-4550",1,31.2215417106653
4408529-06-24,"1609462800","2-39-81-4550",1,30.4833705713374
4410648-08-14,"1610236800","2-39-81-4550",1,37.9566607460035
4411309-01-01,"1610478000","2-39-81-4550",1,14.8512647554806
4411318-11-10,"1610481600","2-39-81-4550",1,14.72
4412343-12-07,"1610856000","2-39-81-4550",1,26.8355023923445
4413290-02-24,"1611201600","2-39-81-4550",1,5.8400431732326
4413743-07-20,"1611367200","2-39-81-4550",1,22.3741776315789
4413753-05-28,"1611370800","2-39-81-4550",1,6.32931392931393
4416818-10-07,"1612490400","2-39-81-4550",1,35.6790609137056
4417035-08-11,"1612569600","2-39-81-4550",1,2.71519853947969
4417577-09-18,"1612767600","2-39-81-4550",1,19.8526180533248
4419115-04-29,"1613329200","2-39-81-4550",1,27.3054659031754
4419874-04-09,"1613606400","2-39-81-4550",1,25.3954519613417
4419884-02-16,"1613610000","2-39-81-4550",1,37.3588452088452
4420100-12-20,"1613689200","2-39-81-4550",1,17.8714285714286
4422653-10-17,"1614621600","2-39-139-28",1,3.60783972125436
4422910-01-23,"1614715200","2-39-91-437",1,0.056976913024539
4424398-05-22,"1615258800","2-39-81-4550",1,25.071009771987
4424625-02-01,"1615341600","2-39-81-4550",1,40.2164226607257
4424802-07-03,"1615406400","2-39-81-4550",1,10.71921005386
4425324-11-23,"1615597200","2-39-81-4550",1,27.4940382452194
4426261-04-05,"1615939200","2-39-81-4550",1,19.9980736816759
4426527-05-21,"1616036400","2-39-81-4550",1,2.63106113843992
4426773-10-18,"1616126400","2-39-81-4550",1,13.7243619489559
4427237-01-18,"1616295600","2-39-81-4550",1,5.88457283343577
4427493-04-26,"1616389200","2-39-81-4550",1,3.18343975003396
4428173-05-31,"1616637600","2-39-81-4550",1,1.31155079031723
4428567-09-03,"1616781600","2-39-139-28",1,3.63718857605833
4428567-09-03,"1616781600","2-39-81-4550",1,26.5245481049563
4428577-07-12,"1616785200","2-39-81-4550",1,29.7355159310143
4428922-07-04,"1616911200","2-39-127-19",1,1.61476510067114
4429070-05-09,"1616965200","2-39-81-4550",1,36.3905945582801
4429829-04-20,"1617242400","2-39-81-4550",1,29.7758885017422
4430292-07-21,"1617411600","2-39-81-4550",1,36.2796694214876
4430322-02-15,"1617422400","2-39-81-4550",1,38.7382137628111
4430676-12-15,"1617552000","2-39-81-4550",1,26.8709753231492
4430962-10-17,"1617656400","2-39-81-4550",1,34.2489662676823
4430972-08-25,"1617660000","2-39-81-4550",1,4.91453590192644
4431150-01-25,"1617724800","2-39-129-17",1,3.44739130434783
4431435-11-27,"1617829200","2-39-81-4550",1,20.9178236397749
4431445-10-05,"1617832800","2-39-81-4550",1,43.7884615384615
4431879-06-12,"1617991200","2-39-81-4550",1,18.4586074980872
4431978-01-04,"1618027200","2-39-81-4550",1,9.61149739939776
4432086-06-06,"1618066800","2-39-81-4550",1,46.2537606278613
4432214-07-26,"1618113600","2-39-81-4550",1,1.42588204940767
4432362-05-31,"1618167600","2-39-81-4550",1,13.857990430622
4432865-02-02,"1618351200","2-39-81-4550",1,38.6331925165963
4432874-12-12,"1618354800","2-39-81-4550",1,21.8993258426966
4433160-10-14,"1618459200","2-39-81-4550",1,44.8608737397984
4433348-01-22,"1618527600","2-39-81-4550",1,21.5065993383249
4433357-11-30,"1618531200","2-39-81-4550",1,29.9433070866142
4433515-08-15,"1618588800","2-39-81-4550",1,45.2196569920844
4433831-01-10,"1618704000","2-39-81-4550",1,15.6138728323699
4434235-02-21,"1618851600","2-39-129-17",1,0.317175448126018
4434580-02-12,"1618977600","2-39-81-4550",1,14.858451672011
4435467-03-14,"1619301600","2-39-81-4550",1,30.5843737081439
4436206-06-08,"1619571600","2-39-81-4550",1,26.8258753709199
4436452-11-04,"1619661600","2-39-81-4550",1,19.358616429895
4436925-12-15,"1619834400","2-39-81-4550",1,21.2434010878901
4438296-01-02,"1620334800","2-39-81-4550",1,29.0671083140113
4438345-04-15,"1620352800","2-39-81-4550",1,19.0671168129642
4438571-12-26,"1620435600","2-39-81-4550",1,37.8115261472785
4439971-08-09,"1620946800","2-39-79-379",1,0.130186109850204
