date,stationID,number_of_users,average_power_usage
2019-10-21,2-39-91-437,1,2.09934398327859
2019-10-21,2-39-91-441,1,0.686160820648577
2019-10-21,2-39-95-27,1,3.92825720620843
2019-10-21,2-39-95-444,1,0.275658113366285
2019-10-22,2-39-123-23,1,1.40269592808038
2019-10-22,2-39-124-22,1,0.262278191184888
2019-10-22,2-39-125-21,2,0.269443965228044
2019-10-22,2-39-126-560,1,0.0242779456193354
2019-10-22,2-39-127-19,1,0.479658747300216
2019-10-22,2-39-128-18,1,2.08810353505093
2019-10-22,2-39-129-17,1,5.17000320559522
2019-10-22,2-39-139-28,2,1.85584993498573
2019-10-22,2-39-78-361,1,0.10423952558979
2019-10-22,2-39-78-362,1,1.09722785901762
2019-10-22,2-39-78-363,1,1.02878830176138
2019-10-22,2-39-78-364,2,0.971805151343611
2019-10-22,2-39-78-365,1,1.79785201465202
2019-10-22,2-39-78-366,2,2.18020352351278
2019-10-22,2-39-79-376,2,1.14547129602783
2019-10-22,2-39-79-377,1,1.8515605815832
2019-10-22,2-39-79-378,1,0.0947180198019803
2019-10-22,2-39-79-379,1,0.658
2019-10-22,2-39-79-380,1,4.99679174384758
2019-10-22,2-39-79-381,1,4.91910987237788
2019-10-22,2-39-79-382,1,2.62388893234259
2019-10-22,2-39-79-383,1,1.67096858561526
2019-10-22,2-39-88-24,2,1.70449804657798
2019-10-22,2-39-88-438,1,0.150085676753917
2019-10-22,2-39-89-25,1,0.804700854700855
2019-10-22,2-39-90-26,1,0.846214527466806
2019-10-22,2-39-90-440,1,1.04670789061139
2019-10-22,2-39-91-437,1,1.86953442622951
2019-10-22,2-39-91-441,1,2.86594898099382
2019-10-22,2-39-92-436,1,1.73833847555075
2019-10-22,2-39-92-442,1,0.255187669673351
2019-10-23,2-39-123-23,1,1.23647448015123
2019-10-23,2-39-124-22,2,3.06960590830523
2019-10-23,2-39-125-21,2,1.36011229940885
2019-10-23,2-39-126-20,1,4.90748071495767
2019-10-23,2-39-127-19,1,0.94855612511769
2019-10-23,2-39-128-18,2,1.34788544483196
2019-10-23,2-39-129-17,1,3.4878458241562
2019-10-23,2-39-130-31,1,0.0397519829754305
2019-10-23,2-39-131-30,2,3.73428723362872
2019-10-23,2-39-138-29,1,0.779533112582781
2019-10-23,2-39-139-28,2,1.25109659058178
2019-10-23,2-39-78-360,1,0.293857782754759
2019-10-23,2-39-78-361,1,0.315425274173894
2019-10-23,2-39-78-364,2,0.729207950609889
2019-10-23,2-39-78-366,2,2.61734628863578
2019-10-23,2-39-78-367,1,0.810903262219212
2019-10-23,2-39-79-376,1,3.39795784515038
2019-10-23,2-39-79-377,1,0.131638557020946
2019-10-23,2-39-79-379,1,2.4618607226914
2019-10-23,2-39-79-380,1,0.118282332517952
2019-10-23,2-39-79-381,1,1.36266982747267
2019-10-23,2-39-79-382,1,1.65161384152457
2019-10-23,2-39-88-24,1,2.28226954878337
2019-10-23,2-39-88-438,1,2.85837219251337
2019-10-23,2-39-89-25,1,2.08887358490566
2019-10-23,2-39-90-26,2,1.59951996478241
2019-10-23,2-39-90-440,1,2.09300114416476
2019-10-23,2-39-91-437,1,1.181775
2019-10-23,2-39-91-441,1,1.21469428252511
2019-10-23,2-39-92-436,3,1.8826902461815
2019-10-23,2-39-92-442,1,2.93803973509934
2019-10-23,2-39-95-27,2,0.729992179992312
2019-10-23,2-39-95-444,2,3.72539964455831
2019-10-24,2-39-123-23,2,0.593519751082251
2019-10-24,2-39-124-22,1,0.899
2019-10-24,2-39-127-19,1,0.681701122268163
2019-10-24,2-39-130-31,3,0.451374590150716
2019-10-24,2-39-130-564,1,0.972
2019-10-24,2-39-131-30,2,1.25024314429224
2019-10-24,2-39-131-565,1,1.25113235294118
2019-10-24,2-39-138-29,1,3.12520647341277
2019-10-24,2-39-139-28,1,1.29696870554765
2019-10-24,2-39-78-361,2,2.02511739293271
2019-10-24,2-39-78-362,1,0.246831861708743
2019-10-24,2-39-78-363,2,2.0606954597379
2019-10-24,2-39-78-364,1,2.42233131801693
2019-10-24,2-39-78-365,1,0.275935034802784
2019-10-24,2-39-78-366,3,1.8044319705809
2019-10-24,2-39-78-367,3,0.725738818982684
2019-10-24,2-39-79-376,1,2.10631490736226
2019-10-24,2-39-79-377,1,0.986883941260066
2019-10-24,2-39-79-379,1,3.81750844572476
2019-10-24,2-39-79-380,2,3.06654385964912
2019-10-24,2-39-79-381,1,1.04389730731495
2019-10-24,2-39-79-382,1,0.671432642979289
2019-10-24,2-39-79-383,1,0.784
2019-10-24,2-39-88-24,2,0.632998485697257
2019-10-24,2-39-88-438,1,4.13736813593851
2019-10-24,2-39-89-25,2,2.82242030773242
2019-10-24,2-39-90-26,2,1.30224565436806
2019-10-24,2-39-90-440,1,1.24983377578109
2019-10-24,2-39-91-437,1,4.64666382543471
2019-10-24,2-39-91-441,1,4.722143802382
2019-10-24,2-39-92-436,1,2.4248154227315
2019-10-24,2-39-92-442,1,1.50093330326267
2019-10-24,2-39-95-27,1,4.94973580901857
2019-10-25,2-39-123-23,4,0.794065651210288
2019-10-25,2-39-124-22,1,2.08191461026244
2019-10-25,2-39-124-558,1,1.42575802967017
2019-10-25,2-39-126-20,2,1.80685515144404
2019-10-25,2-39-127-19,2,3.60461827446996
2019-10-25,2-39-129-17,2,2.09753735960087
2019-10-25,2-39-138-29,1,6.18589184645559
2019-10-25,2-39-138-566,1,0.711
2019-10-25,2-39-139-28,3,2.28323297127214
2019-10-25,2-39-78-360,2,0.027342840860351
2019-10-25,2-39-78-362,1,1.08806265578417
2019-10-25,2-39-78-364,1,0.699862692921767
2019-10-25,2-39-78-365,1,2.98178880597015
2019-10-25,2-39-78-366,1,0.17094190073105
2019-10-25,2-39-78-367,1,0.0208277283791168
2019-10-25,2-39-79-376,1,0.314863939013799
2019-10-25,2-39-79-377,2,2.08113215861842
2019-10-25,2-39-79-378,2,1.52861016393443
2019-10-25,2-39-79-379,1,1.30400271855773
2019-10-25,2-39-79-380,1,2.27272890056106
2019-10-25,2-39-79-381,1,1.06175632416057
2019-10-25,2-39-79-382,1,0.819551394422311
2019-10-25,2-39-79-383,1,1.67643902215711
2019-10-25,2-39-88-24,1,0.927
2019-10-25,2-39-89-25,1,0.860472245236123
2019-10-25,2-39-89-439,1,1.47897335423198
2019-10-25,2-39-90-440,1,0.617347357619292
2019-10-25,2-39-91-437,2,3.38181763473465
2019-10-25,2-39-92-436,1,0.62006974248927
2019-10-25,2-39-92-442,1,1.07866413833001
2019-10-25,2-39-95-27,1,0.842363109048724
2019-10-26,2-39-127-19,1,3.33233293697979
2019-10-26,2-39-129-17,1,2.47725483481064
2019-10-26,2-39-130-31,1,4.45361469554371
2019-10-26,2-39-131-30,1,5.55414169475764
2019-10-26,2-39-138-29,2,2.83030783206541
2019-10-26,2-39-139-28,3,3.22437613100107
2019-10-26,2-39-78-363,1,0.360589699780327
2019-10-26,2-39-78-365,2,2.21281781266575
2019-10-26,2-39-78-367,1,0.736
2019-10-26,2-39-79-377,1,0.795
2019-10-26,2-39-91-437,1,2.19518114726602
2019-10-26,2-39-95-27,1,0.34941466083151
2019-10-27,2-39-125-21,1,0.517265418357994
2019-10-27,2-39-129-17,1,2.16035005524862
2019-10-27,2-39-131-30,1,3.295271255697
2019-10-27,2-39-138-29,1,1.93824170501332
2019-10-27,2-39-139-28,4,3.51562947656379
2019-10-27,2-39-79-377,1,0.911115768463074
2019-10-27,2-39-89-25,1,1.23620678752108
2019-10-27,2-39-91-437,1,2.58302314731742
2019-10-28,2-39-123-23,2,2.18624466376469
2019-10-28,2-39-124-22,1,4.88671993090045
2019-10-28,2-39-125-21,1,1.55699162223915
2019-10-28,2-39-126-20,1,0.799273228563551
2019-10-28,2-39-129-17,2,1.23915530168687
2019-10-28,2-39-131-30,2,0.773750970466951
2019-10-28,2-39-138-29,1,0.533271966527197
2019-10-28,2-39-139-28,2,4.17911398525715
2019-10-28,2-39-78-363,1,0.340679938744257
2019-10-28,2-39-78-365,1,0.636551493988685
2019-10-28,2-39-78-367,1,6.13834403209629
2019-10-28,2-39-79-376,1,1.315
2019-10-28,2-39-79-377,1,4.40995239368815
2019-10-28,2-39-79-379,1,4.49323942033454
2019-10-28,2-39-79-380,1,0.183198632940406
2019-10-28,2-39-79-382,1,0.30034918269665
2019-10-28,2-39-79-383,1,1.60312889957018
2019-10-28,2-39-83-386,1,2.43403397747046
2019-10-28,2-39-88-24,1,0.236306848013931
2019-10-28,2-39-88-438,1,0.401542535063573
2019-10-28,2-39-89-25,1,1.89539202834367
2019-10-28,2-39-90-26,1,0.80749088342548
2019-10-28,2-39-90-440,1,0.501955802262254
2019-10-28,2-39-91-437,1,0.955966288492707
2019-10-28,2-39-91-441,1,4.13129058116232
2019-10-28,2-39-92-436,1,1.404710910252
2019-10-28,2-39-92-442,1,2.40571148730351
2019-10-28,2-39-95-444,1,0.594238095238095
2019-10-29,2-39-123-23,2,0.467821438135813
2019-10-29,2-39-124-22,1,1.1093116402899
2019-10-29,2-39-129-17,1,0.0599154727793696
2019-10-29,2-39-131-30,2,0.25178868901062
2019-10-29,2-39-139-28,1,0.696226040978189
2019-10-29,2-39-78-360,1,1.26583048140543
2019-10-29,2-39-78-361,2,0.46748213467705
2019-10-29,2-39-78-362,1,2.37266353049165
2019-10-29,2-39-78-363,2,1.25857647502664
2019-10-29,2-39-78-364,2,0.843564926296838
2019-10-29,2-39-78-366,2,2.21463962011315
2019-10-29,2-39-78-367,3,0.704826042859309
2019-10-29,2-39-79-376,1,4.95921956734755
2019-10-29,2-39-79-377,1,0.0465841043890866
2019-10-29,2-39-79-378,1,0.391892173189009
2019-10-29,2-39-79-379,2,3.77371634317543
2019-10-29,2-39-79-380,2,1.36917796229803
2019-10-29,2-39-79-381,1,3.14198860615268
2019-10-29,2-39-79-382,1,0.766924704418171
2019-10-29,2-39-88-438,1,1.50207860382026
2019-10-29,2-39-89-25,1,0.523256917625513
2019-10-29,2-39-90-26,3,0.590051537190989
2019-10-29,2-39-90-440,1,0.982395441504622
2019-10-29,2-39-91-437,1,1.47367537826685
2019-10-29,2-39-91-441,2,2.58920436018076
2019-10-29,2-39-92-436,1,1.31326596439654
2019-10-29,2-39-92-442,1,2.28941530655391
2019-10-29,2-39-95-27,1,2.05067850287908
2019-10-29,2-39-95-444,1,0.407186612420358
2019-10-30,2-39-123-23,1,1.27282283884739
2019-10-30,2-39-123-557,3,1.19449722182375
2019-10-30,2-39-125-21,1,2.82910150123235
2019-10-30,2-39-127-19,1,2.7093572778828
2019-10-30,2-39-128-18,1,2.01650674331196
2019-10-30,2-39-128-562,1,0.768309662398137
2019-10-30,2-39-129-17,1,0.0377335553705246
2019-10-30,2-39-130-31,2,0.568793416857782
2019-10-30,2-39-131-30,3,1.84271073501629
2019-10-30,2-39-138-29,1,0.852962747656899
2019-10-30,2-39-139-28,2,1.01133653690842
2019-10-30,2-39-78-361,1,0.145150852222808
2019-10-30,2-39-78-362,1,0.991645042174999
2019-10-30,2-39-78-363,3,1.77586866425049
2019-10-30,2-39-78-364,1,0.935
2019-10-30,2-39-78-365,2,0.0917496825406428
2019-10-30,2-39-78-366,1,3.44284500714723
2019-10-30,2-39-79-378,2,0.813150675736532
2019-10-30,2-39-79-379,1,1.31410496850945
2019-10-30,2-39-79-380,1,0.0856653934300993
